epoch:1-1: loss:4.547019958496094
epoch:1-51: loss:3.2335009574890137
epoch:1-101: loss:3.1642584800720215
epoch:1-151: loss:3.0167908668518066
epoch:2-1: loss:2.8093485832214355
epoch:2-51: loss:3.003640651702881
epoch:2-101: loss:2.8034260272979736
epoch:2-151: loss:2.74280047416687
epoch:3-1: loss:2.540543794631958
epoch:3-51: loss:2.7192440032958984
epoch:3-101: loss:3.1265387535095215
epoch:3-151: loss:2.910572052001953
epoch:4-1: loss:2.726236343383789
epoch:4-51: loss:2.665980100631714
epoch:4-101: loss:2.597395896911621
epoch:4-151: loss:2.638429880142212
epoch:5-1: loss:3.0948848724365234
epoch:5-51: loss:3.054816246032715
epoch:5-101: loss:2.8876800537109375
epoch:5-151: loss:2.9181578159332275
[Saving Snapshot:] ./ckpts/CheX_1e-3_20_512/SAM2-UNet-5.pth
epoch:6-1: loss:2.773488759994507
epoch:6-51: loss:2.931382179260254
epoch:6-101: loss:3.200881004333496
epoch:6-151: loss:2.9237053394317627
epoch:7-1: loss:2.60774564743042
epoch:7-51: loss:3.027524948120117
epoch:7-101: loss:3.2331058979034424
epoch:7-151: loss:2.6614294052124023
epoch:8-1: loss:2.563076972961426
epoch:8-51: loss:3.0024871826171875
epoch:8-101: loss:2.766170024871826
epoch:8-151: loss:3.1256630420684814
epoch:9-1: loss:2.48215389251709
epoch:9-51: loss:2.886357069015503
epoch:9-101: loss:3.057849884033203
epoch:9-151: loss:3.2748258113861084
epoch:10-1: loss:2.653076648712158
epoch:10-51: loss:2.8709678649902344
epoch:10-101: loss:3.029926300048828
epoch:10-151: loss:2.4527249336242676
[Saving Snapshot:] ./ckpts/CheX_1e-3_20_512/SAM2-UNet-10.pth
epoch:11-1: loss:2.9341306686401367
epoch:11-51: loss:3.1362435817718506
epoch:11-101: loss:2.659951686859131
epoch:11-151: loss:2.596900224685669
epoch:12-1: loss:2.7653210163116455
epoch:12-51: loss:2.554197311401367
epoch:12-101: loss:2.6319544315338135
epoch:12-151: loss:2.5676870346069336
epoch:13-1: loss:2.7838387489318848
epoch:13-51: loss:3.076462507247925
epoch:13-101: loss:2.454657793045044
epoch:13-151: loss:2.760878086090088
epoch:14-1: loss:2.6354713439941406
epoch:14-51: loss:2.5381007194519043
epoch:14-101: loss:2.981823682785034
epoch:14-151: loss:2.657029628753662
epoch:15-1: loss:2.207228422164917
epoch:15-51: loss:2.3294363021850586
epoch:15-101: loss:2.477363348007202
epoch:15-151: loss:2.6222457885742188
[Saving Snapshot:] ./ckpts/CheX_1e-3_20_512/SAM2-UNet-15.pth
epoch:16-1: loss:2.320021152496338
epoch:16-51: loss:2.2932510375976562
epoch:16-101: loss:2.69065260887146
epoch:16-151: loss:2.6870903968811035
epoch:17-1: loss:2.509579658508301
epoch:17-51: loss:2.498525619506836
epoch:17-101: loss:2.7447633743286133
epoch:17-151: loss:2.2427868843078613
epoch:18-1: loss:2.3071889877319336
epoch:18-51: loss:2.3876101970672607
epoch:18-101: loss:2.1141035556793213
epoch:18-151: loss:2.7420506477355957
epoch:19-1: loss:2.595010757446289
epoch:19-51: loss:2.5209388732910156
epoch:19-101: loss:2.9851725101470947
epoch:19-151: loss:2.261739730834961
epoch:20-1: loss:2.3466289043426514
epoch:20-51: loss:2.351261615753174
epoch:20-101: loss:2.7800111770629883
epoch:20-151: loss:2.357996940612793
[Saving Snapshot:] ./ckpts/CheX_1e-3_20_512/SAM2-UNet-20.pth
